Cosit,Description,Type,StartSite,EndSite,Length,StartGrid,EndGrid,Direction
9800ZDYQIO8S,A6010 Wilmslow Rd/Moseley Rd to A34 Kingsway/South of Moseley Roundabout,Normal,MAC4069MR,MAC4106MR,1062 m,385583394003,386547393929,E
9800ZDUYY4XR,A560 Altrincham Rd/Hall Ln to A5103 Princess Parkwat N of Merseybank Ave,Link,MAC4209MR,MAC4218MR,2981 m,381664389356,382824391541,NE
9800ZDUUZ7ZG,St Helen's Rd/Newbrook Rd/Salford Rd to Bolton Rd/Bridgewater Rd/High St/Manchester Rd/Memorial Rd,Link,MAC4273BL,MAC4346SD,5461 m,369013405797,373660403085,SE
9800ZDQXDIKI,Blackburn Rd Bolton to Kay St/St Peters Way,Link,MAC1319,MAC4103BL,813 m,371586410532,371821409821,SE
9800ZDMTIJCO,(blank),Link,MAC4099SD,MAC1053SD,0 m,378713400689,374101401764,W
9800ZDKQ0NBK,A56 Bury New Rd/Gt Cheetham St to A56 Bury New Rd/Moor Ln/Singleton Rd,Link,MAC4078SD,MAC4091SD,1667 m,382982400628,382255402075,NW
9800ZDKEJ7TC,A34 Kingsway/Gatley Rd to A34 M60 Junc 3/Kingsway,Link,MAC4044ST,MAC4104ST,366 m,385035388368,385040388733,N
9800ZDIE2XCP,Barlow Moor Rd/Princess Rd Palatine Rd/Barlow Moor Rd,Link,MAC4327MR,MAC4289MR,996 m,383117392058,384003391605,SE
9800ZDCRQNKB,Bury New Rd/Moor Ln/Singleton Rd to Bury New Rd/Northumberland St,Link,MAC4091SD,MAC4092SD,994 m,382255402075,382748401251,SE
9800ZDBRAJ18,A6053 Bolton Rd/Long Causeway to A6053 Bolton Rd/Egerton St,Link,MAC4201BL,MAC4202BL,1450 m,374244405408,373548406656,NW
9800ZDAS3TZL,A6 Stockport Rd/Albert Rd to A6 Stockport Rd/Broom Ln,Link,MAC1071MR,MAC1073MR,765 m,387370394187,387733393518,SE
9800ZD8VDV2C,(blank),Link,MAC4097WG,MAC4242WG,0 m,371488400948,364497397362,SW
9800ZD3GZXUC,A663 Broadway / Foxdenton Ln to Broadway/Long Lane/Costco Access,Link,MAC4316OL,MAC4317OL,840 m,389985404187,389577403492,SW
9800ZD0DRXAW,(blank),Link,MAC4081TA,MAC4082TA,896 m,390431398096,391322397978,E
9800ZCPVTLAU,A49 Wallgate/Caroline St to A577 Ormskirk Rd/Alker St,Link,MAC1015WG,MAC1028WG,1638 m,357980405365,356541404760,W
9800ZCMLJQWO,B5215 Leigh Rd/Kirkhall Ln to B5215 King Ln/Twist Ln,Link,MAC4270WG,MAC4095WG,1063 m,365733400988,365623399940,S
9800ZCJTDESI,Mottram Moor/Back Moor to A57 Woolley Ln / A628 Market St,Link,MAC4057TA,MAC4056TA,777 m,399595395799,400342396015,E
9800ZCIQIQXB,Bury New Rd/Bradford St to Bury Rd/Crompton Way,Link,MAC4296BL,MAC4297BL,883 m,372790409308,373666409425,E
9800ZCEVT0SC,A635 Manchester Rd/Moss Way to A635 Manchester Rd/Audenshaw Rd,Link,MAC4018TA,MAC4016TA,1509 m,391982398151,390623397498,W
9800ZCDVGD3X,A6018 Mottram Rd S of Compton St to A57 Mottram Moor/Back Moor,Normal,MAC4058TA,MAC4057TA,3944 m,396844398359,399595395799,SE
9800ZCCVRWZY,A57 Regent Road to A635 Fairfield Street,Normal,MAC4001MR,MAC4012MR,3214 m,382729397664,385530397656,E
9800ZCCL0RLK,A6010 Ashton New Rd/Alan Turing Way to A6010 Hulme Hall Ln/Drewett St/Vickers St,Link,MAC4065MR,MAC4064MR,1673 m,387149398340,386255399708,NW
9800ZCCAIBWX,Chorley New Rd/St. George's Rd to Chorley New Rd/Tudor Ave,Link,MAC4306BL,MAC4305BL,1189 m,370956409622,369793409364,W
