Cosit,Description,Type,StartSite,EndSite,Length,StartGrid,EndGrid,Direction
9800YRQCJDI8,A5103 Princess Rd/Wilbraham Rd to A34 Kingsway/South of Moseley Rd Roundabout,Link,MAC4070MR,MAC4106MR,2689 m,383874394069,386547393929,E
9800YROIMTLX,A5103 Princess Rd N of Merseybank Av to A560 Altrincham Rd/Hall Ln,Link,MAC4218MR,MAC4209MR,3145 m,382824391541,381664389356,SW
9800YRLLBRCS,Broadway/Trafford Rd to Trafford Rd/Trafford Wharf Rd/Pomona Strand,Normal,MAC4074SD,MAC4073TR,1322 m,381308397831,381235396518,S
9800YR9GOH9U,(blank),Link,MAC1053SD,MAC4099SD,0 m,374101401764,378713400689,E
9800YQQN9XAF,A635 Ashton Old Rd/Pottery Ln to A635 Ashton Old Rd/Fairfield Rd,Link,MAC4014MR,MAC4015MR,2048 m,387191397513,389238397359,E
9800YQOMOJGU,De Havilland Way/Lostock Lane to A6027 De Havilland Way (east of Reebok Car Park Exit),Link,MAC4308BL,MAC4301BL,577 m,365204409514,364682409275,W
9800YQM0RIFR,(blank),Link,MAC4008MR,MAC4255MR,267 m,384651398698,384448398866,NW
9800YQLFZKNQ,A577 Wigan Rd/Liverpool Rd to A577 Manchester Rd/Ince Green Ln,Link,MAC1110WG,MAC1111WG,1946 m,361583404290,359995405382,NW
9800YQKIIQCF,A560 Altrincham Way/Brownley Rd to A34 Kingsway/Gatley Rd,Link,MAC4211MR,MAC4044ST,2213 m,383002388682,385035388368,E
9800YQGFSWAJ,A6010 Birchfields Rd/Dickenson Rd to A34 Birchfields Rd/Fallowfield Shopping Centre,Link,MAC4067MR,MAC4107MR,1250 m,386054395253,386438394075,SE
9800YQAHP0NI,A6042 Trinity Way/Cheetham Hill Rd to A665 Cheetham Hill Rd/Corporation St,Normal,MAC4006MR,MAC4007MR,222 m,384057399213,384174399038,SE
9800YQ9EKIID,A664 Manchester new Rd/Middleton Way to M60 J20 WB/Rochdale Rd/Shop access,Normal,MAC4251RD,MAC4252MR,1593 m,386881405571,386339404104,SW
9800YQ7FTXC5,Broadway/Chadderton Way to Manchester Rd/ Edinburgh Way/Roch Valley Way,Link,MAC4321OL,MAC4246RD,7764 m,391788405666,388600411895,NW
9800YPUSOE5N,A635 Stamford Street East A-U-L to Park Parade west of Grafton St,Normal,MAC1310,MAC4060TA,51 m,394613398974,394562398987,W
9800YPOLAF9N,A666 Bolton Rd/Stoneclough Rd A6053 Bolton Rd/Long Causeway,Link,MAC4200BL,MAC4201BL,621 m,374761405114,374244405408,NW
9800YPIEEXR0,Bury New Rd/Gt Cheetham St East to Bury New Rd/Waterloo Rd,Link,MAC4078SD,MAC4093MR,906 m,382982400628,383428399839,SE
9800YP9NJT5G,(blank),Normal,MAC4101BL,MAC4102BL,0 m,371299414159,371455411685,S
9800YP1YRPF9,A58 York St/Market Place to A58 Rochdale Rd/Green Ln,Link,MAC4281RD,MAC4282RD,746 m,385555410798,386281410834,E
9800YOYNIFG0,M66 J2NB offslip/Rochdale Rd to A58 York St/Market Place,Normal,MAC4280BU,MAC4281RD,0 m,382034410525,385555410798,E
9800YOYD60GQ,B5215 Leigh Rd/Lovers Ln to A579 Bolton Rd/York Rd/High St,Link,MAC4271WG,MAC4272WG,1943 m,366353402341,367795403316,NE
9800YOUBZYDH,Liverpool Rd/Sealand Dr to Cadishead Way/Boysnope Wharf,Link,MAC4110SD,MAC4240SD,2364 m,375166397587,373549395953,SW
9800YOLM3VLJ,(blank),Normal,MAC1096ST,MAC1097ST,731 m,388962390706,389409390135,SE
9800YOKZ66GZ,A57 Mottram Moor/Back Moor to A6018 Mottram Rd S of Compton St,Normal,MAC4057TA,MAC4058TA,3943 m,399595395799,396844398359,NW
9800YOHVN9VB,A56 Bury New Rd/Valley Park Rd/Stanthorpe Court to A56 Manchester Rd/Hollins Brow,Link,MAC4089BU,MAC4086BU,3533 m,381012404474,380762407753,N
9800YODDM3IH,A580 East Lancs Rd/Lowton St. Mary's By-Pass to A580 East Lancs Rd/Warrington Rd,Normal,MAC4242WG,MAC4243WG,2627 m,364497397362,366943398323,E
9800YNYOQBHI,A6 London Rd/Buxton Rd to A6 Buxton Rd W of Andrew Ln,Link,MAC1041ST,MAC1100ST,3454 m,392525386519,395548385244,E
9800YNTEP2NY,Mottram Rd S of Compton St to A6018 Roe Cross Road Mottram,Link,MAC4058TA,MAC1309,3121 m,396844398359,398925396217,SE
9800YNTAXYVI,Rochdale Rd/Chadderton Way to Broadway/Chadderton Way,Link,MAC4320OL,MAC4321OL,450 m,392156405439,391788405666,NW
9800YNJG8W5S,East Lancs Rd/Worsley Rd to East Lancs Rd/Lancaster Rd,Normal,MAC4098SD,MAC4099SD,1471 m,377287400969,378713400689,E
9800YNGWWE0M,A58 Beaumont Rd/Wign Rd to A676 Deane Rd/Moor Ln,Link,MAC4258BL,MAC4259BL,3032 m,368655407379,371295408779,NE
9800YN08DIDV,A6042 Trinity Way/Gt Ducie St to A6042 Trinity Way/Blackfriars Rd,Link,MAC4005MR,MAC4004SD,561 m,383788399115,383273398928,W
9800YMS5RKPU,Oldham Rd/Shaw Rd to Rochdale Road/Featherstall Road North,Link,MAC4340OL,MAC4349OL,1116 m,392135407168,392122406048,S
9800YMMQWRPS,(blank),Link,MAC4039MR,MAC1317,1573 m,385351397055,386813396611,E
9800YM57UEMG,Church Rd/Stretford Rd to Barton Rd/Kingsway,Link,MAC4329TR,MAC4328TR,2668 m,376667394455,379247394374,E
9800YM26OJXD,A6042 Trinity Way/Chapel St to A6042 Trinity Way/Hampson Rd,Link,MAC4003SD,MAC4002SD,657 m,383009398543,382805398001,SW
9800YLZLE3EM,Broad St/The Cresent to Broughton St E of Ford Ln,Normal,MAC4076SD,MAC4077SD,1197 m,381787398791,381251399586,NW
9800YLUGF0OC,A635 Manchester Rd/M60 J23 Slips to A635 Manchester Rd/Moss Way,Link,MAC4019TA,MAC4018TA,535 m,392464398388,391982398151,W
9800YLUCETG0,King St/Twist Ln to St Helen's Rd/Atherleigh Way,Link,MAC4095WG,MAC4292WG,1852 m,365623399940,364625398638,SW
9800YLKIZYIH,(blank),Link,MAC4080TA,MAC1313,1196 m,389041398264,387869398522,W
9800YL30U2XJ,Bury New Rd/Northumberland St to Bury New Rd/Moor Ln/Singleton Rd,Link,MAC4092SD,MAC4091SD,1001 m,382748401251,382255402075,NW
9800YL0MNECV,A640 Milnrow Rd/Drake St/School Ln to A58 Manchester Rd/Drake St,Link,MAC4244RD,MAC4245RD,780 m,389931413093,389266412780,W
9800YKXN239P,Wilmslow Rd/Palatine Rd/Burton Rd to Palatine Rd/Barlow Moor Rd,Link,MAC4288MR,MAC4289MR,1608 m,384880392953,384003391605,SW
9800YKQARRZB,Bury Rd/Crompton Way to Bury New Rd/Bradford St,Link,MAC4297BL,MAC4296BL,883 m,373666409425,372790409308,W
9800YKOXTOGL,A5081 Village Way/Mosley Rd to Warren Bruce Rd/Wharfside Way,Link,MAC4228TR,MAC4229TR,847 m,379041396781,379869396779,E
9800YK222N7M,A6044 Agecroft Road to A5063 Albion Way,Normal,MAC4117SD,MAC4076SD,3650 m,379323401316,381787398791,SE
9800YK0LQP3X,New Zealand Rd/Carrington Rd to A560 Stockport Rd West/Ashton Rd,Link,MAC4265ST,MAC4264ST,1399 m,390833390949,392012391628,NE
9800YK0DJ8YK,A6017 Ashton Rd/Lingard Ln to A560 Stockport Rd W/Ashton Rd,Link,MAC4263ST,MAC4264ST,901 m,392075392491,392012391628,S
9800YJY9FGFL,Broadway/Hollinwood Ave to M60 J21 N/B on-slip/Broadway,Link,MAC4319OL,MAC4318OL,571 m,389145402864,389447403340,NE
9800YJKO7IOW,Manchester Rd Astley Green to East Lancs Rd/Chaddock Way,Link,MAC1304,MAC4097WG,2909 m,369151399819,371488400948,E
9800YIZSDPND,(blank),Link,MAC1078MR,MAC4039MR,569 m,384895397367,385351397055,SE
9800YIZ5J5W3,Bury & Bolton Rd/Higher Ainsworth Rd to Bury Rd/Crompton Way,Link,MAC4298BU,MAC4297BL,3863 m,377395409465,373666409425,W
9800YIY96RBO,A6010 Hulme Hall Ln/Drewett St/Vickers St to A6010 Ashton New Rd/Alan Turning Way,Link,MAC4064MR,MAC4065MR,1671 m,386255399708,387149398340,SE
9800YIOQ2YQD,Palatine Rd/Kenworthy Lane to Palatine Rd/Barlow Moor Rd,Link,MAC4290MR,MAC4289MR,1940 m,382870390080,384003391605,NE
9800YIJ21FAI,A5081 Wharfside Way/Sir Matt Busby Way to Warren Bruce Rd/Wharfside Way,Link,MAC4230TR,MAC4229TR,1041 m,380874396493,379869396779,W
9800YIGWKXED,(blank),Normal,MAC4083BU,MAC4299BU,483 m,380181410507,380000410910,NW
9800YIACXA2B,(blank),Link,MAC4073TR,MAC4074SD,1321 m,381235396518,381308397831,N
9800YI4U7YUJ,A5102 Woodford Rd/Chester Rd to A555 Airport Link/Woodford Rd,Link,MAC4048ST,MAC4047ST,711 m,389602383116,389200383674,NW
9800YHSUB5L6,M602 J2/Gilda Brook Roundabout (South side) to M602 J2/Gilda Brook Roundabout (North side),Link,MAC4115SD,MAC4116SD,187 m,378157398804,378171398952,N
9800YHS00EFA,A5081 Wharfside Way/Sir Matt Busby Way to Warren Bruce Rd/Wharfside Way,Link,MAC4230TR,MAC4229TR,1055 m,380874396493,379869396779,W
9800YHQ2ASOT,A579 Trinity St/Moor Ln/Derby St to A579 St Helens Rd/Hulton Ln,Link,MAC4275BL,MAC4274BL,2815 m,371373408668,369300406787,SW
9800YHNCZAW5,(blank),Normal,MAC1076MR,MAC1075MR,0 m,386623395821,385675396688,NW
9800YGPSLTHJ,A6042 Trinity Way/Gt Ducie St to A56 Bury New Rd/Moor Ln/Singleton Rd,Link,MAC4005MR,MAC4091SD,3363 m,383788399115,382255402075,NW
9800YGGI130D,A523 Macclesfield Rd/Dean Rd to A5143 Dean Rd/Jacksons Ln,Link,MAC1093ST,MAC4040ST,1124 m,392579386043,391813385733,W
9800YGGACRWO,A58 Manchester Rd/Edinburgh Way/Roch Valley Way to A58 Manchester Rd/Silk St/Bolton Rd,Link,MAC4246RD,MAC4283RD,219 m,388600411895,388426411750,SW
9800YG0L6C8I,Adelphi St/Chapel/Crescent/Oldfield Rd to A580 East Lancs Rd/Lancaster Rd,Link,MAC4100SD,MAC4099SD,4611 m,382530398540,378713400689,NW
9800YG06NHCW,M602 J2/Gilda Brook R'abt to A57 Bentcliffe Way/Gilda Brook R'abt,Link,MAC4115SD,MAC4114SD,402 m,378157398804,378141398420,S
9800YG02COSP,A627 Market St/Union St ot A627 Clarke Way/Manchester Rd,Link,MAC4025TA,MAC4029TA,654 m,394944394723,394485395114,NW
9800YFPHUBVH,A6027 De Havilland Way (west of Parklands Roundabout) to A6027 De Havilland Way (east of Reebok Car,Normal,MAC4300BL,MAC4301BL,0 m,364681409274,364682409275,NE
9800YFOJ5AKE,Bury New Rd/Valley Park Rd/Stanhope Court to Bury New Rd/Higher Ln,Link,MAC4089BU,MAC4088BU,868 m,381012404474,380829405264,N
9800YFNTNM_E,A6 Wellington Rd North/George's Rd to A6 Wellington Rd North/Heaton Rd,Link,MAC1096ST,MAC1085ST,686 m,388962390706,388723391351,NW
9800YFL0YBCH,M60 Jct 24/M67/Manchester Rd (Northside) to Manchester Rd/Seymour St,Link,MAC4033TA,MAC4032TA,847 m,391142395535,391951395510,E
9800YFGCGIII,Bury New Rd/Gt Cheetham St E to Broughton Rd E of Ford Ln,Normal,MAC4078SD,MAC4077SD,2094 m,382982400628,381251399586,SW
9800YFFGHISR,Oldham Rd north Queen Victoria St to Oldham Rd south of Gordon St,Link,MAC4338RD,MAC4337RD,473 m,390450411667,390376412075,N
9800YF3UBNWC,A6 Wellington Rd North/Manchester Rd to A6 Stockport Rd/Broom Ln,Normal,MAC1095ST,MAC1073MR,787 m,388061392809,387733393518,NW
9800YERENHUQ,Ashton New Rd/Alan Turning Way to Ashton Old Rd/Pottery Ln,Link,MAC4065MR,MAC4014MR,859 m,387149398340,387191397513,S
9800YEQZUQTA,A57 Hyde Rd/Mount Rd to A57 Hyde Rd/Reddish Rd,Link,MAC4036MR,MAC4035MR,1508 m,388052396222,389469395704,E
9800YEKT5PAK,A57 Hyde Road Denton to M67 J2 W/B off-slip/Hyde Rd,Link,MAC1311,MAC4030TA,233 m,393283395525,393482395401,SE
9800YEAWL7FJ,A665 Cheetham Hill Rd/Corporation St to A6042 Trinity Way/Cheetham Hill Rd,Link,MAC4007MR,MAC4006MR,202 m,384174399038,384057399213,NW
9800YE8U8MUF,A580 East Lancs Rd/Chaddock Ln to A572 Manchester Rd Astley,Link,MAC4097WG,MAC1304,2903 m,371488400948,369151399819,W
9800YE71CS3O,A635 Manchester Rd/M60 J23 Slips to A635 Manchester Rd/Park Parade,Link,MAC4019TA,MAC4021TA,772 m,392464398388,393185398647,E
9800YDTLENKJ,A627 Clarke Way/Newton St to A627 Cavendish St/Asda Access,Link,MAC4028TA,MAC4278TA,3653 m,394602395253,393732398544,N
9800YDKWJM4Z,A5149 Wilmslow Rd/High St to A34 Kingsway/Gatley Rd,Link,MAC4045ST,MAC4044ST,646 m,385626388572,385035388368,W
9800YDCNTXDM,Rochdale Rd/Chadderton Way to Rochdale Road/Featherstall Road North,Link,MAC4320OL,MAC4349OL,611 m,392156405439,392122406048,N
9800YD9MHFFR,A635 Manchester Rd/Park Parade to A635 Manchester Rd/M60 J23 Slips,Link,MAC4021TA,MAC4019TA,895 m,393185398647,392464398388,W
9800YD950YTE,Junction of Woodlands Rd/Church St to Junction of Shaftsbury Av/Thorley Ln,Link,MAC1001TR,MAC1011TR,2221 m,376800388236,378983388477,E
9800YCZFYUP5,Broadway/Hollinwood Ave to Broadway/Oldham Rd,Link,MAC4319OL,MAC4225OL,1896 m,389145402864,388801401027,S
9800YCR6JAYK,Kingsway/Gatley Rd to Wilmslow Rd/High St,Link,MAC4044ST,MAC4045ST,646 m,385035388368,385626388572,E
9800YCN0XP2N,A6 Stockport Rd/Devonshire Rd to A57 Hyde Rd E of Ardwich Green Roundabout,Normal,MAC1075MR,MAC4039MR,657 m,385675396688,385351397055,NW
9800YCHXZKTD,A665 Gt Ancoats St/Oldham Rd to A665 Cheetham Hill Rd/Corporation St,Normal,MAC4008MR,MAC4007MR,582 m,384651398698,384174399038,NW
9800YCGX0QIG,Trafford Rd/Broadway to Albion Way/Liverpool St,Normal,MAC4074SD,MAC4075SD,708 m,381308397831,381612398353,NE
9800YCBCHONR,A576 Middleton rd/Sheepfoot Ln to A665 Bury Old Rd/Leicester Rd,Link,MAC4268MR,MAC4208SD,1514 m,383758403636,383562402142,S
9800YC2ADPBI,Mottram Rd/Halton Street to Clarke Way/Mottram Rd,Link,MAC4022TA,MAC4023TA,473 m,395572395012,395121394956,W
9800YC0VGB4F,(blank),Normal,MAC4099SD,MAC4352SD,0 m,378713400689,381504399113,SE
9800YBYPU5RI,A58 Manchester Rd/Drake St to A58 Manchester Rd/Dane St,Link,MAC4245RD,MAC4284RD,362 m,389266412780,389318413142,N
9800YBTGONFH,Warren Bruce Rd/Wharfside Way to Wharfside Way/Sir Matt Busby Way,Link,MAC4229TR,MAC4230TR,1049 m,379869396779,380874396493,E
9800YBGNXBHC,A56 Bury New Rd/Higher Ln to A56 Bury New Rd/Radcliffe New Rd,Link,MAC4088BU,MAC4087BU,1166 m,380829405264,380407406348,NW
9800YBDN17P0,A635 Park Parade W of Grafton St to A635 Manchester Rd/Moss Way,Link,MAC4060TA,MAC4018TA,2893 m,394562398987,391982398151,W
9800YB9QU1UQ,A560 stockport Rd West/Ashton Rd to A6017 Ashton Rd/Lingard Ln,Link,MAC4264ST,MAC4263ST,925 m,392012391628,392075392491,N
9800YB3QRHUZ,Edge Lane to Chester Road,Link,MAC4072MR,MAC1043TR,1307 m,380950393996,379735394420,W
9800YAX1ZMM1,A6010 Hulme Hall Ln/Drewett St/Vickers St to A6010 Queen's Rd/Monsall Rd,Link,MAC4064MR,MAC4063MR,836 m,386255399708,385799400389,NW
9800YAWREY5A,A579 St Helens Rd/Newbrook St/Salford rd to A579 Bolton Rd/York St/High St,Link,MAC4273BL,MAC4272WG,3142 m,369013405797,367795403316,SW
9800YAW7HYQB,A635 Mancunian Way/Fairfield St to A6 Chester Rd/Mancunian Way,Normal,MAC4012MR,MAC1049MR,2764 m,385530397656,382950397270,W
9800YAU1K0LU,(blank),Normal,MAC1379,MAC4280BU,0 m,381248410744,382034410525,E
9800YAO5C0LG,Oldham Rd/Shaw Rd to Oldham Rd north of Shaw Rd,Link,MAC4340OL,MAC4339RD,3537 m,392135407168,390797410409,NW
9800YA7CNGHF,Redclyffe Rd/B&Q Development to Barton Rd/Barton Ln,Link,MAC4331TR,MAC4351SD,472 m,376780397282,376575397697,NW
9800Y9ZU54LJ,A6018 Roe Cross Road Mottram to Mottram Moor/Back Moor,Link,MAC1309,MAC4057TA,823 m,398925396217,399595395799,SE
9800Y9VZUG4L,A665 Gt Ancoats St/Laystall St to A665 Gt Ancoats St/Oldham Rd,Link,MAC4009MR,MAC4008MR,535 m,385050398341,384651398698,NW
9800Y9BD91DN,A34 Kingsway/Parrs Wood Ln to A34 Birchfields Rd/Fallowfield shopping centre,Link,MAC4105MR,MAC4107MR,3863 m,385523390476,386438394075,N
9800Y8WC9R4P,Wilmslow Rd/Platt Ln/Dickenson Rd to Wilmslow Rd/Moss Lane East,Link,MAC4068MR,MAC4287MR,755 m,385339395012,385042395700,NW
9800Y8RYDK0W,Manchester Rd/Hyde Rd to Ashton Rd/Worthington Way,Link,MAC4031TA,MAC4262TA,331 m,392543395503,392447395819,NW
9800Y8NABPWG,Bury New Rd/Hilton Ln/Scholes Ln to Bury New Rd/Valley Park Rd/Stanhope Court,Link,MAC4090BU,MAC4089BU,1641 m,381779403027,381012404474,NW
9800Y8LD5PDG,B5215 King St/Twist Ln to A579 Atherleigh Way/Twist Ln,Link,MAC4095WG,MAC4094WG,600 m,365623399940,365078400162,W
9800Y86L80CC,A666 Blackburn Rd/Darwen Rd to A666 Blackburn Rd Egerton,Link,MAC4101BL,MAC1306,1785 m,371299414159,370527415759,NW
9800Y7XT9JXQ,A576 Eccles Old Rd/Stott Ln to A576 Eccles Old Rd/Langworthy Rd,Link,MAC4205SD,MAC4204SD,1862 m,378774399214,380517399518,E
9800Y7MZ52L0,A57 Liverpool Rd SW of Sealand Dr to A57 Church St/Peel St,Link,MAC4110SD,MAC4113SD,2724 m,375166397587,377497398577,E
9800Y6TKLTLO,Oldham Road/Wood Street to Oldham Rd south of Gordon St,Link,MAC4336RD,MAC4337RD,936 m,390070412951,390376412075,SE
9800Y6II6VDZ,A576 Eccles Old Rd/Langworthy Rd to A6 Broad St/The Crescent/Albion Way/Cross Ln,Link,MAC4204SD,MAC4076SD,1616 m,380517399518,381787398791,SE
9800Y6FEJZEQ,(blank),Link,MAC1100ST,MAC1094ST,2837 m,395548385244,393026386171,W
9800Y6DMPZQ9,M602 J2/Gilda Brook Roundabout (North side) to Bentcliffe Way/Gilda Brook Rd,Normal,MAC4116SD,MAC4114SD,613 m,378171398952,378141398420,S
9800Y5OAGCPX,Liverpool Rd/Thorp St to Liverpool Rd/Sealand Dr,Link,MAC4111SD,MAC4110SD,524 m,375536397860,375166397587,SW
9800Y5MNMUMY,(blank),Link,MAC1070MR,MAC1084MR,799 m,387335394711,386938395390,NW
9800Y52NZZMD,Ashton Old Rd/Pottery Ln to Hyde Rd/Pottery Ln,Link,MAC4014MR,MAC4037MR,1003 m,387191397513,387062396537,S
9800Y50LO0HL,A6042 Trinity Way/Hampson St to A57 Dawson St/Regent Rd,Link,MAC4002SD,MAC4001MR,361 m,382805398001,382729397664,S
9800Y4MUOLAZ,Broadway/Long Lane/Costco Access to M60 J21 N/B on-slip/Broadway,Link,MAC4317OL,MAC4318OL,202 m,389577403492,389447403340,SW
9800Y4LO2WFJ,(blank),Link,MAC1086ST,MAC1098ST,1425 m,388884390934,388345392252,NW
9800Y44YPY0R,(blank),Link,MAC4206SD,MAC4110SD,0 m,371849393806,375166397587,NE
9800Y3VNL59R,Lloyd St/Moss Ln E to Lloyd St/Denmark Rd,Link,MAC1406MR,MAC1405MR,552 m,384439395589,384459396142,N
9800Y3VM90DL,A577 Wigan Rd/Liverpool Rd to A577 Darlington St E/Birkett Bank,Link,MAC1110WG,MAC1112WG,2604 m,361583404290,359385405593,NW
9800Y3UOEGQI,A627 Clarke Way/Newton St to A627 Clarke Way/M67 EB Slips,Link,MAC4028TA,MAC4027TA,318 m,394602395253,394892395216,E
9800Y3UJHYRQ,A635 Ashton Old Rd/Fairfield Rd to A635 Manchester Rd/Moss Way,Link,MAC4015MR,MAC4018TA,3030 m,389238397359,391982398151,E
9800Y3ETBVLE,(A6) Broad St/The Cresent/Albion Way/Cross Lane to Adelphi St/Chapel St/Cresent/Oldfield Rd,Link,MAC4076SD,MAC4100SD,808 m,381787398791,382530398540,E
9800Y39KSNYH,A523 London Rd N/Chester Rd to A5102 Woodford Rd/Chester Rd,Link,MAC4050CH,MAC4048ST,2758 m,391983383641,389602383116,W
9800Y3101D9N,A58 Market St N of Mill St to A58 Cricketers Way/The Fairways/Wigan Rd,Link,MAC4256WG,MAC4257BL,4090 m,361810404501,365189405789,E
9800Y2OX00EA,Broughton Rd E of For d Ln to Bury New Rd/Gt Cheetham St E,Normal,MAC4077SD,MAC4078SD,2098 m,381251399586,382982400628,NE
9800Y2JAXJCN,A6042 Trinity Way/Gt Ducie St to A6042 Trinity Way/Cheetham Hill Rd,Link,MAC4005MR,MAC4006MR,287 m,383788399115,384057399213,E
9800Y2AJZ9IB,M60 j20 W/B on slip/Rochdale Rd/Shop access to A664 Manchester New Rd/Middleton Way,Normal,MAC4252MR,MAC4251RD,1586 m,386339404104,386881405571,NE
9800Y28DF1KS,A5102 Woodford Rd S of meadway to A555 Airport Link/Woodford Rd,Link,MAC4042ST,MAC4047ST,758 m,389111384360,389200383674,S
9800Y27OEHE3,A6 London Road south of Grundey to A6 London Road/Commercial Road,Link,MAC1040ST,MAC1091ST,466 m,392182386916,391840387220,NW
9800Y24O3EFM,A6042 Trinity Way/Chapel St to A6042 Trinity Way/Gt Ducie St,Normal,MAC4003SD,MAC4005MR,1041 m,383009398543,383788399115,NE
9800Y1ZVNGZB,A5103 Princess Rd/Moss Ln East to A5103 Princess Rd/Wilbraham Rd,Link,MAC4220MR,MAC4070MR,1790 m,383827395861,383874394069,S
9800Y1PYAFB6,A5184 Plymouth Grove/Upper Brook St to A6010 Birchfields Rd/Dickenson Rd,Link,MAC4108MR,MAC4067MR,1649 m,385014396528,386054395253,SE
9800Y1KMZ6H0,A57 Hyde Rd/Devonshire Rd to Ardwick Green South nr Ardwick Green Roundabout,Link,MAC4038MR,MAC1081MR,557 m,385778396921,385281397110,W
9800Y1JPNZ9T,A56 Bury New Rd/Gt Cheetham St to A665 Cheetham Hill Rd/Queens Rd,Link,MAC4078SD,MAC4061MR,1681 m,382982400628,384425400403,E
9800Y19DCQUY,A555 Airport Link N Roundabout to A555 Airport Link/Woodford Rd,Link,MAC4051CH,MAC4047ST,3790 m,385551384495,389200383674,E
9800Y15Z0IIB,A666 Bolton Rd/Queensway/Station Rd to A666 Manchester Rd - M60 Junc 16 EB on-slip,Link,MAC4118SD,MAC4119SD,898 m,378006402541,377707403387,NW
9800Y10E00SC,Didsbury Rd/Bank Hall Rd to Didsbury Rd/Green Ln,Link,MAC4325ST,MAC4324ST,995 m,387473390661,388392390349,E
9800Y0YMA603,(blank),Link,MAC4250RD,MAC4252MR,0 m,387077405709,386339404104,SW
9800Y0XOEB4F,A57 Mottram Rd/Halton St to A627 Clarke Way/Newton St,Link,MAC4022TA,MAC4028TA,1136 m,395572395012,394602395253,W
9800Y0V9JAMP,A58 Manchester Rd/Drake St to A58 Manchester Rd/Dane St,Link,MAC4245RD,MAC4284RD,360 m,389266412780,389318413142,N
9800Y0UCCE8W,A579 Bolton Rd/York St/High St to B5215 Leigh Rd/Lovers Ln,Link,MAC4272WG,MAC4271WG,1885 m,367795403316,366353402341,SW
9800Y0SEC3XF,Palatine Rd/Barlow Moor Rd to Wilmslow Rd/Barlow Moor Rd/School Ln,Link,MAC4289MR,MAC4326MR,800 m,384003391605,384710391227,SE
9800Y0N83KI0,A578 Wigan Rd N of Eva St to A578 Leigh Rd/Atherton Rd,Link,MAC1116WG,MAC1118WG,1047 m,364498401260,363873402051,NW
9800Y0BTE5EU,A627 Clarke Way/Newton St to A627 Clarke Way Manchester Rd,Link,MAC4028TA,MAC4029TA,188 m,394602395253,394485395114,SW
9800Y0ASOVB0,A579 Bolton Rd/York St/High St to A579 St Helens Rd/Newbrook St/Salford Rd,Link,MAC4272WG,MAC4273BL,3142 m,367795403316,369013405797,NE
9800Y05ZTCUA,A57 Hyde Rd/M67 J2 WB off slip to A627 Clarke Way/Newton St,Link,MAC4030TA,MAC4028TA,1252 m,393482395401,394602395253,E
9800Y01OVOJH,A62 Oldham rd/Hulme Hall Ln/Queens Rd to A663 Broadway/Oldham Rd,Link,MAC4226MR,MAC4225OL,2906 m,386131399927,388801401027,E
9800Y00UNUK9,Church St/Peel St to Bentcliffe Way/Gilda Brook Rd,Link,MAC4113SD,MAC4114SD,815 m,377497398577,378141398420,E
9800XZZ7EOLQ,Bury New Rd/Gt Cheetham St E to Cheetham Hill Rd/Queens Rd,Normal,MAC4078SD,MAC4061MR,1681 m,382982400628,384425400403,E
9800XZYNVSE0,Manchester Rd/Radcliffe Rd to Dumers Ln/Manchester Rd/Millwood Court,Link,MAC4084BU,MAC4085BU,1100 m,380308409653,380536408582,S
9800XZT0YDFD,Upper Brook Street to Plymouth Grove,Normal,MAC4108MR,MAC1079MR,1644 m,385014396528,386513395923,E
9800XZP11JCB,(blank),Link,MAC4017TA,MAC4082TA,105 m,391338397858,391322397978,N
9800XZJGIW0P,A5149 Albert Rd/Cheadle Rd to A5102 Woodford Rd S of Meadway,Link,MAC4046ST,MAC4042ST,3797 m,387190386633,389111384360,SE
9800XZ5CILSU,Clarke Way/Mottram Rd to Mottram Rd/Halton Street,Link,MAC4023TA,MAC4022TA,473 m,395121394956,395572395012,E
9800XZ0ODFGF,Cheetham Hill Rd/Queens Rd to Bury New Rd/Gt Cheetham St E,Normal,MAC4061MR,MAC4078SD,1681 m,384425400403,382982400628,W
9800XYYOZCMI,Rochdale Rd/Chadderton Way to Rochdale Rd/Middleton Rd,Link,MAC4320OL,MAC4350OL,404 m,392156405439,392230405025,S
9800XYT9YGID,A635 Mancunian Way/Fairfield St to A665 Gt Ancoats St/Pollard St,Link,MAC4012MR,MAC4010MR,650 m,385530397656,385322398104,NW
9800XYP2IMQJ,Marsden Rd/St.George's Rd to Chorley New Rd/St. George's Rd,Link,MAC4307BL,MAC4306BL,325 m,371253409494,370956409622,W
9800XYLIIYBK,A580 East Lancs Rd/Lowton St Mary's By-Pass to A580 East Lancs Rd/Newton Rd,Link,MAC4242WG,MAC4241WG,2169 m,364497397362,362397396922,W
9800XYCOLM1B,A6042 Trinity Way/Blackfriars Rd to A6042 Trinity Way/Chapel St,Normal,MAC4004SD,MAC4003SD,469 m,383273398928,383009398543,SW
9800XY1PLELJ,869 Chorley Rd/Manchester Rd/Worsley Rd to Chorley Rd/Station Rd,Normal,MAC4347SD,MAC4333SD,684 m,378027401311,377531401781,NW
9800XY06FY30,Bury New Rd/Gt Cheetham St East to Bury New Rd/Northumberland St,Link,MAC4078SD,MAC4092SD,664 m,382982400628,382748401251,NW
9800XXSDPREZ,A627 Oldham Rd/Wellington Rd to A627 Cavendish St/Asda Access,Link,MAC4276TA,MAC4278TA,833 m,393524399315,393732398544,S
